Wall time,Step,Value
1560784832.4164708,0,-18.86153793334961
1560788525.0369477,1,-15.390243530273438
1560792310.536441,2,-11.379310607910156
1560796833.9896376,3,8.129032135009766
1560801350.5540578,4,12.414633750915527
1560805903.6148453,5,13.384614944458008
1560810775.8345106,6,15.904762268066406
1560815490.0979574,7,15.844444274902344
1560820101.6548624,8,17.4375
1560824670.6960266,9,17.46938705444336
1560829281.5363648,10,17.68000030517578
1560833757.7654428,11,18.115385055541992
1560838195.578419,12,18.235294342041016
1560842562.036839,13,17.823530197143555
1560846827.6590645,14,18.19607925415039
1560851678.9194684,15,17.884614944458008
1560856413.9881785,16,18.280000686645508
1560861099.5221422,17,18.254901885986328
1560865450.6005085,18,19.018518447875977
1560869756.5539865,19,19.48214340209961
1560873667.8004632,20,18.6862735748291
