,N,variable,Episodes to Learn
0,4,BN,260.16
1,6,BN,380.56
2,8,BN,816.92
3,10,BN,997.76
4,12,BN,1000.0
5,14,BN,1000.0
6,16,BN,1000.0
7,18,BN,994.28
8,4,BNIG,454.2
9,6,BNIG,796.14
10,8,BNIG,887.7
11,10,BNIG,937.38
12,12,BNIG,979.7
13,14,BNIG,968.9
14,16,BNIG,978.96
15,18,BNIG,1000.0
