Wall time,Step,Value
1560849650.1023362,1000,107133.6484375
1560849656.7536926,1500,110433.8046875
1560849663.2875915,2000,113258.5078125
1560849671.3891473,2500,117716.7578125
1560849677.6468663,3000,124767.5078125
1560849685.6736968,3500,131154.015625
1560849692.0035317,4000,133432.890625
1560849700.091241,4500,133631.265625
1560849706.3856702,5000,140371.765625
1560849714.1978488,5500,144064.765625
1560849720.4987178,6000,144551.015625
1560849728.5474517,6500,147722.265625
1560849734.721601,7000,155031.015625
1560849742.776213,7500,150638.515625
1560849749.108225,8000,158527.265625
1560849755.491718,8500,161173.015625
1560849763.4494877,9000,162454.015625
1560849769.8403168,9500,163098.515625
1560849777.7691176,10000,176921.515625
1560849784.1180828,10500,172054.015625
1560849792.0049708,11000,175644.015625
1560849798.2643988,11500,177891.015625
1560849806.2671242,12000,177292.015625
1560849812.5177746,12500,175337.515625
1560849820.5158455,13000,174155.015625
1560849826.758384,13500,185824.015625
1560849834.6127126,14000,187002.015625
1560849840.8420482,14500,201366.515625
1560849848.8717303,15000,178157.515625
1560849855.0878377,15500,195823.515625
1560849861.2488582,16000,209735.515625
1560849869.2577522,16500,195462.515625
1560849875.6631682,17000,190511.515625
1560849883.6702166,17500,176280.015625
1560849889.9393716,18000,213737.515625
1560849897.916229,18500,220667.015625
1560849904.1149995,19000,219545.015625
1560849912.1866004,19500,207360.015625
1560849918.4514189,20000,218956.015625
1560849926.4453743,20500,204170.015625
1560849932.691877,21000,237759.015625
1560849940.6264834,21500,243569.015625
1560849946.764898,22000,243091.015625
1560849954.7279682,22500,232981.015625
1560849961.0136292,23000,234947.015625
1560849969.048994,23500,204313.015625
1560849975.3439558,24000,271274.0
1560849981.6668382,24500,247489.015625
1560849989.7769938,25000,213131.015625
1560849996.0299306,25500,228707.015625
1560850004.0145679,26000,234246.015625
1560850010.2088702,26500,252074.015625
1560850018.1190255,27000,290882.0
1560850024.3316507,27500,211660.015625
1560850032.3550866,28000,296473.0
1560850038.6547267,28500,220245.015625
1560850046.6016233,29000,261943.015625
1560850052.8438804,29500,252673.015625
1560850060.750517,30000,230677.015625
1560850067.041441,30500,274000.0
1560850075.001261,31000,235874.015625
1560850081.1974025,31500,248569.015625
1560850087.4577384,32000,258273.015625
1560850095.4402215,32500,266522.0
1560850101.683526,33000,279719.0
1560850109.6869838,33500,262600.0
1560850115.9886034,34000,330097.0
1560850123.8696156,34500,308243.0
1560850130.1355703,35000,323401.0
1560850138.2615595,35500,320056.0
1560850144.4882526,36000,294606.0
1560850152.731741,36500,306027.0
1560850158.977047,37000,300863.0
1560850167.055495,37500,293610.0
1560850173.248201,38000,332731.0
1560850181.443326,38500,276876.0
1560850187.6315413,39000,321496.0
1560850193.7856438,39500,271422.0
1560850201.7942066,40000,266296.0
1560850207.9676626,40500,279064.0
1560850216.0502858,41000,281462.0
1560850222.1864173,41500,265618.0
1560850230.2453198,42000,293958.0
1560850236.5383012,42500,308398.0
1560850244.6504765,43000,327008.0
1560850250.8538656,43500,252012.015625
1560850258.8050094,44000,317418.0
1560850265.0344589,44500,357596.0
1560850271.3199964,45000,309098.0
1560850279.5071084,45500,299934.0
1560850285.7568123,46000,324602.0
1560850294.1380777,46500,311346.0
1560850300.3278134,47000,243992.015625
1560850308.358049,47500,317816.0
1560850314.6051338,48000,311386.0
1560850322.709602,48500,347894.0
1560850328.9961064,49000,333150.0
1560850337.2148764,49500,361956.0
1560850343.4243183,50000,318210.0
1560850351.3708925,50500,328010.0
1560850357.3478217,51000,286262.0
1560850365.2435791,51500,369592.0
1560850371.2730668,52000,370796.0
1560850379.141231,52500,362648.0
1560850385.2142034,53000,328102.0
